Timestamp,No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,High,Low,Price,Change,After-Hours Close,After-Hours Change
2024-07-19 06:59:19,6,S,SentinelOne Inc,USA,6757.99,,262.98,15.95%,-2.79%,58.82%,10.89%,4.31%,11.33,-0.69%,-0.41%,-0.69%,0.47%,1.69%,1.60%,-0.28%,-0.28%,-0.28%,6.19%,18.94%,4.80%,-12.62%,39.26%,-21.28%,0.90,4.40%,3.84%,7.54%,8.25%,-1.21%,5/30/2024 4:30:00 PM,-0.37%,7.65%,4701.74,2.72,639312,20.14,21.89,21.17,21.60,7.25%,,
2024-07-19 06:59:19,7,SERV,Serve Robotics Inc,USA,169.92,,23.48,36.70%,0.46%,,,5.50%,1.29,0.22%,-0.43%,-1.29%,0.00%,1.55%,-2.99%,-3.17%,-3.17%,-3.17%,100.00%,123.41%,47.27%,,,-81.68%,0.45,9.32%,11.78%,114.52%,80.62%,22.02%,05/29/2024,2.46%,69.96%,638.12,185.30,5912259,2.63,4.93,4.47,4.58,74.14%,,
2024-07-19 06:59:19,8,SGD,Safe and Green Development Corp,USA,6.58,,8.94,44.26%,0.00%,1.69%,,4.79%,0.43,-1.11%,-1.13%,-1.13%,-0.65%,-0.89%,0.54%,-8.88%,-8.88%,-8.88%,3.13%,-3.71%,-34.87%,-43.03%,,-70.69%,0.04,10.54%,7.45%,1.37%,-14.90%,-58.52%,,-7.38%,19.79%,3502.27,38.29,6704324,0.37,0.45,0.40,0.41,10.95%,,
2024-07-19 06:59:19,9,SILO,SILO Pharma Inc,USA,14.54,,3.46,6.10%,4.90%,3.06%,,1.95%,0.07,1.29%,-1.75%,-1.50%,-5.06%,-3.17%,2.87%,4.23%,4.23%,4.23%,290.10%,310.42%,100.00%,177.46%,90.34%,173.61%,0.42,34.05%,15.07%,217.22%,162.64%,148.58%,,3.41%,9.80%,4952.30,5.25,1299860,3.47,4.23,3.61,3.94,13.54%,,
2024-07-19 06:59:19,10,SXTP,60 Degrees Pharmaceuticals Inc,USA,5.01,,9.32,23.67%,8.48%,3.98%,,2.95%,0.27,-0.94%,1.48%,4.43%,7.72%,9.50%,-0.22%,20.75%,20.75%,20.75%,67.09%,53.35%,66.44%,-44.04%,-87.57%,-59.78%,0.04,7.88%,9.38%,64.37%,55.34%,-12.60%,5/15/2024 8:30:00 AM,20.33%,38.58%,760.44,356.46,13553098,0.25,0.44,0.31,0.41,66.75%,,
2024-07-19 06:59:19,11,TCJH,Top KingWin Ltd,China,5.41,,6.97,52.77%,0.00%,0.22%,,0.01%,0.00,0.00%,-1.50%,0.44%,-5.90%,-0.81%,-0.81%,-0.81%,-0.81%,-0.81%,19.54%,-12.64%,-74.86%,-74.34%,-77.62%,-79.15%,0.06,13.61%,13.47%,6.81%,-10.42%,-67.69%,,-0.54%,8.05%,372.88,33.71,628576,0.34,0.47,0.36,0.37,7.47%,,
2024-07-19 06:59:19,12,UNCY,Unicycive Therapeutics Inc,USA,36.33,,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.47,0.00%,0.00%,0.00%,0.00%,0.00%,-2.53%,-3.64%,-3.64%,-3.64%,-14.33%,-34.35%,-61.10%,-50.68%,-66.08%,-51.14%,0.06,10.08%,14.78%,-15.42%,-42.48%,-53.72%,5/13/2024 4:30:00 PM,-3.64%,8.00%,889.21,10.68,474647,0.41,0.44,0.42,0.42,4.07%,,
2024-07-19 07:14:20,1,AMIX,Autonomix Medical Inc.,USA,27.06,,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,-0.03%,0.00%,-1.38%,-1.40%,-4.00%,-2.04%,1.41%,4.35%,4.35%,133.01%,28.57%,-49.47%,,,-71.60%,0.28,41.02%,26.25%,58.58%,-11.80%,-47.96%,,4.35%,2.22%,3692.73,2.28,421086,1.35,1.53,1.29,1.44,6.67%,,
2024-07-19 07:14:20,2,AUGX,Augmedix Inc,USA,111.16,,47.45,3.11%,-22.99%,82.90%,0.68%,4.30%,2.04,-0.01%,-0.44%,-0.44%,0.00%,0.00%,0.00%,10.19%,10.19%,10.19%,147.65%,202.67%,-24.58%,-54.05%,-49.56%,-61.20%,0.16,4.64%,7.56%,151.72%,106.01%,-39.19%,5/13/2024 4:30:00 PM,26.82%,95.33%,738.16,85.35,3150043,0.92,2.29,1.78,2.27,147.71%,,
2024-07-19 07:14:20,3,CMND,Clearmind Medicine Inc,Canada,5.44,,2.92,7.75%,0.00%,8.79%,,11.71%,0.34,-1.86%,-0.72%,0.43%,1.02%,-7.67%,-7.17%,-7.17%,-7.17%,-7.17%,1.02%,39.63%,45.78%,50.65%,-86.42%,-38.88%,0.21,16.89%,15.53%,8.70%,27.86%,-21.74%,,-6.66%,7.60%,2711.81,2.12,287733,1.71,1.91,1.68,1.72,0.43%,,
