"Ticker","Sector","Industry","Shares Float","Short Ratio","Average True Range","All-Time High","Change from Open","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
"ACN","Technology","Information Technology Services",624.88,2.12,6.01,-29.21%,0.17%,3525.02,0.32,56453,295.44,294.95,295.09,295.09,295.44,0.00%
"ACNB","Financial","Banks - Regional",8.16,4.86,1.09,-27.33%,0.00%,13.20,0.87,573,34.58,35.28,35.28,35.28,35.28,2.02%
"ACNT","Basic Materials","Steel",8.78,0.65,0.38,-80.32%,0.00%,9.39,0.00,2,9.30,9.34,9.34,9.34,9.34,0.43%
"ACON","Healthcare","Health Information Services",8.05,0.12,0.02,-99.53%,0.00%,2443.38,0.30,36796,0.30,0.30,0.30,0.30,0.30,-0.16%
"ACP","Financial","Closed-End Fund - Debt",52.11,3.46,0.08,-62.44%,0.44%,364.76,1.90,34609,6.82,6.84,6.87,6.84,6.87,0.73%
"ACR","Real Estate","REIT - Mortgage",6.64,2.46,0.28,-94.09%,-1.07%,13.53,0.05,36,13.43,13.53,13.53,13.53,13.39,-0.30%
"ACRE","Real Estate","REIT - Mortgage",50.70,4.19,0.18,-60.80%,0.29%,556.54,0.80,22195,6.93,7.00,7.00,7.00,7.02,1.30%
"ACRS","Healthcare","Diagnostics & Research",65.48,4.58,0.08,-96.16%,0.00%,860.22,0.24,10378,1.27,1.30,1.30,1.29,1.30,2.36%
"ACRV","Healthcare","Biotechnology",21.94,6.35,0.48,-71.26%,0.00%,180.42,0.06,547,7.16,7.32,7.32,7.32,7.32,2.23%
"ACSI","Financial","Exchange Traded Fund",,,0.20,0.00%,0.00%,0.14,0.00,0,56.53,56.53,56.53,56.53,56.53,0.00%
"ACST","Healthcare","Biotechnology",5.51,0.11,0.20,-99.85%,0.16%,14.26,0.14,101,3.07,3.08,3.22,3.22,3.09,0.49%
"ACT","Financial","Insurance - Specialty",29.84,7.08,0.47,-2.79%,0.55%,187.46,0.48,4490,30.59,30.79,31.00,30.95,30.96,1.21%
"ACTG","Industrials","Business Equipment & Supplies",98.13,3.07,0.13,-88.73%,0.09%,207.91,0.40,4154,5.26,5.32,5.32,5.32,5.32,1.24%
"ACTU","Healthcare","Biotechnology",1.29,,,,,,,0,,,,,,
"ACTV","Financial","Exchange Traded Fund",,,0.33,-20.66%,0.00%,6.47,0.00,0,31.66,31.66,31.66,31.66,31.66,0.00%
"ACU","Consumer Defensive","Household & Personal Products",3.20,1.65,1.15,-31.73%,0.22%,21.95,0.10,106,34.15,34.74,34.74,34.74,34.81,1.93%
"ACV","Financial","Closed-End Fund - Equity",10.37,0.78,0.31,-39.57%,0.00%,31.74,0.83,1317,21.21,21.12,21.05,21.05,21.12,-0.42%
"ACVA","Consumer Cyclical","Auto & Truck Dealerships",142.47,9.34,0.62,-54.91%,-1.22%,1026.28,0.26,13513,16.80,17.24,17.24,17.24,17.03,1.37%
"ACVF","Financial","Exchange Traded Fund",,,0.34,0.25%,0.00%,8.51,0.68,288,42.14,42.24,43.32,43.32,42.24,0.25%
"ACWI","Financial","Exchange Traded Fund",,,0.82,0.33%,0.16%,2566.76,0.37,47833,115.80,116.09,116.29,116.09,116.27,0.41%
"ACWV","Financial","Exchange Traded Fund",,,0.60,-2.40%,0.00%,171.40,0.42,3611,105.97,105.99,105.99,105.99,105.99,0.02%
"ACWX","Financial","Exchange Traded Fund",,,0.53,-19.02%,-0.03%,974.44,0.04,1713,54.70,55.10,55.20,55.10,55.08,0.70%
"ACXP","Healthcare","Biotechnology",13.42,11.09,0.15,-74.72%,-2.62%,55.37,0.54,1502,2.21,2.29,2.29,2.29,2.23,0.90%
"ADAG","Healthcare","Biotechnology",37.18,0.60,0.19,-91.23%,0.00%,33.03,0.00,2,2.76,2.79,2.79,2.79,2.79,1.09%
"ADAP","Healthcare","Biotechnology",226.10,3.53,0.08,-94.34%,0.00%,1598.90,0.56,44389,1.19,1.22,1.22,1.22,1.22,2.52%
"ADBE","Technology","Software - Infrastructure",441.53,2.01,12.18,-19.38%,0.00%,3454.29,0.99,170516,564.55,563.99,564.00,563.92,564.00,-0.10%
"ADC","Real Estate","REIT - Retail",98.79,9.31,0.81,-21.87%,0.55%,764.52,0.17,6407,62.07,62.56,63.00,62.00,62.90,1.34%
"ADCT","Healthcare","Biotechnology",78.07,1.04,0.31,-94.23%,0.00%,786.86,0.16,6385,3.15,3.27,3.27,3.15,3.27,3.65%
"ADD","Communication Services","Entertainment",16.17,0.60,0.03,-100.00%,0.00%,659.80,0.09,2867,0.20,0.20,0.20,0.20,0.20,1.52%
"ADEA","Technology","Software - Application",102.07,6.36,0.29,-14.64%,-0.09%,465.70,0.41,9584,11.15,11.44,11.43,11.33,11.43,2.51%
"ADFI","Financial","Exchange Traded Fund",,,0.06,-15.32%,0.00%,45.35,0.00,0,8.51,8.51,8.51,8.51,8.51,0.00%
"ADI","Technology","Semiconductors",494.30,2.88,4.23,-1.29%,0.00%,3171.68,0.14,21632,238.33,238.76,238.76,238.76,238.76,0.18%
"ADIL","Healthcare","Biotechnology",4.12,0.17,0.09,-99.53%,-0.09%,935.36,0.01,656,1.12,1.11,1.13,1.13,1.11,-0.89%
"ADIV","Financial","Exchange Traded Fund",,,0.09,-21.23%,0.00%,0.70,0.00,0,14.88,14.88,14.88,14.88,14.88,0.00%
"ADM","Consumer Defensive","Farm Products",491.03,2.39,1.26,-34.81%,0.02%,4082.20,0.18,37571,64.23,64.45,64.58,64.50,64.46,0.36%
"ADMA","Healthcare","Biotechnology",223.89,2.45,0.34,-13.29%,0.17%,2970.22,0.38,55769,12.00,12.12,12.15,12.10,12.14,1.17%
"ADME","Financial","Exchange Traded Fund",,,0.27,0.00%,0.00%,15.29,0.00,0,45.09,45.09,45.09,45.09,45.09,0.00%
"ADN","Utilities","Utilities - Renewable",2.14,2.26,0.31,-99.32%,1.81%,35.65,0.50,895,3.85,3.86,3.86,3.86,3.93,2.08%
"ADNT","Consumer Cyclical","Auto Parts",88.25,4.82,0.75,-72.41%,0.00%,1065.76,0.33,17680,23.24,23.84,23.84,23.84,23.84,2.58%
"ADP","Industrials","Staffing & Employment Services",408.73,3.22,3.60,-14.92%,0.12%,1487.14,0.22,16579,234.15,233.62,233.89,233.89,233.89,-0.11%
